source,target,interaction,directed,symbol,value
R_ENO,M_pep_c,PP,TRUE,abc,1.234
M_etoh_e,R_ETOHt2r,PP,TRUE,abc,1.234
M_h_e,R_ETOHt2r,PP,TRUE,abc,1.234
R_ETOHt2r,M_etoh_c,PP,TRUE,abc,1.234
R_ETOHt2r,M_h_c,PP,TRUE,abc,1.234
M_fdp_c,R_FBA,PP,TRUE,abc,1.234
R_FBA,M_dhap_c,PP,TRUE,abc,1.234
R_FBA,M_g3p_c,PP,TRUE,abc,1.234
M_fdp_c,R_FBP,PP,TRUE,abc,1.234
M_h2o_c,R_FBP,PP,TRUE,abc,1.234
R_FBP,M_f6p_c,PP,TRUE,abc,1.234
R_FBP,M_pi_c,PP,TRUE,abc,1.234
M_for_e,R_FORt,PP,TRUE,abc,1.234
R_FORt,M_for_c,PP,TRUE,abc,1.234
M_for_e,R_FORt2,PP,TRUE,abc,1.234
M_h_e,R_FORt2,PP,TRUE,abc,1.234
R_FORt2,M_for_c,PP,TRUE,abc,1.234
R_FORt2,M_h_c,PP,TRUE,abc,1.234
M_fum_c,R_FRD7,PP,TRUE,abc,1.234
M_q8h2_c,R_FRD7,PP,TRUE,abc,1.234
R_FRD7,M_q8_c,PP,TRUE,abc,1.234
R_FRD7,M_succ_c,PP,TRUE,abc,1.234
M_fru_e,R_FRUpts2,PP,TRUE,abc,1.234
M_pep_c,R_FRUpts2,PP,TRUE,abc,1.234
R_FRUpts2,M_f6p_c,PP,TRUE,abc,1.234
R_FRUpts2,M_pyr_c,PP,TRUE,abc,1.234
M_fum_c,R_FUM,PP,TRUE,abc,1.234
M_h2o_c,R_FUM,PP,TRUE,abc,1.234
R_FUM,M_mal__L_c,PP,TRUE,abc,1.234
M_fum_e,R_FUMt2_2,PP,TRUE,abc,1.234
M_h_e,R_FUMt2_2,PP,TRUE,abc,1.234
R_FUMt2_2,M_fum_c,PP,TRUE,abc,1.234
R_FUMt2_2,M_h_c,PP,TRUE,abc,1.234
M_g6p_c,R_G6PDH2r,PP,TRUE,abc,1.234
M_nadp_c,R_G6PDH2r,PP,TRUE,abc,1.234
R_G6PDH2r,M_6pgl_c,PP,TRUE,abc,1.234
R_G6PDH2r,M_h_c,PP,TRUE,abc,1.234
R_G6PDH2r,M_nadph_c,PP,TRUE,abc,1.234
M_g3p_c,R_GAPD,PP,TRUE,abc,1.234
M_nad_c,R_GAPD,PP,TRUE,abc,1.234
M_pi_c,R_GAPD,PP,TRUE,abc,1.234
R_GAPD,M_13dpg_c,PP,TRUE,abc,1.234
R_GAPD,M_h_c,PP,TRUE,abc,1.234
R_GAPD,M_nadh_c,PP,TRUE,abc,1.234
M_glc__D_e,R_GLCpts,PP,TRUE,abc,1.234
M_pep_c,R_GLCpts,PP,TRUE,abc,1.234
R_GLCpts,M_g6p_c,PP,TRUE,abc,1.234
R_GLCpts,M_pyr_c,PP,TRUE,abc,1.234
M_atp_c,R_GLNS,PP,TRUE,abc,1.234
M_glu__L_c,R_GLNS,PP,TRUE,abc,1.234
M_nh4_c,R_GLNS,PP,TRUE,abc,1.234
R_GLNS,M_adp_c,PP,TRUE,abc,1.234
R_GLNS,M_gln__L_c,PP,TRUE,abc,1.234
R_GLNS,M_h_c,PP,TRUE,abc,1.234
R_GLNS,M_pi_c,PP,TRUE,abc,1.234
M_atp_c,R_GLNabc,PP,TRUE,abc,1.234
M_gln__L_e,R_GLNabc,PP,TRUE,abc,1.234
M_h2o_c,R_GLNabc,PP,TRUE,abc,1.234
R_GLNabc,M_adp_c,PP,TRUE,abc,1.234
R_GLNabc,M_gln__L_c,PP,TRUE,abc,1.234
R_GLNabc,M_h_c,PP,TRUE,abc,1.234
R_GLNabc,M_pi_c,PP,TRUE,abc,1.234
M_glu__L_c,R_GLUDy,PP,TRUE,abc,1.234
M_h2o_c,R_GLUDy,PP,TRUE,abc,1.234
M_nadp_c,R_GLUDy,PP,TRUE,abc,1.234
R_GLUDy,M_akg_c,PP,TRUE,abc,1.234
R_GLUDy,M_h_c,PP,TRUE,abc,1.234
R_GLUDy,M_nadph_c,PP,TRUE,abc,1.234
R_GLUDy,M_nh4_c,PP,TRUE,abc,1.234
M_gln__L_c,R_GLUN,PP,TRUE,abc,1.234
M_h2o_c,R_GLUN,PP,TRUE,abc,1.234
R_GLUN,M_glu__L_c,PP,TRUE,abc,1.234
R_GLUN,M_nh4_c,PP,TRUE,abc,1.234
M_akg_c,R_GLUSy,PP,TRUE,abc,1.234
M_gln__L_c,R_GLUSy,PP,TRUE,abc,1.234
M_h_c,R_GLUSy,PP,TRUE,abc,1.234
M_nadph_c,R_GLUSy,PP,TRUE,abc,1.234
R_GLUSy,M_glu__L_c,PP,TRUE,abc,1.234
R_GLUSy,M_nadp_c,PP,TRUE,abc,1.234
M_glu__L_e,R_GLUt2r,PP,TRUE,abc,1.234
M_h_e,R_GLUt2r,PP,TRUE,abc,1.234
R_GLUt2r,M_glu__L_c,PP,TRUE,abc,1.234
R_GLUt2r,M_h_c,PP,TRUE,abc,1.234
M_6pgc_c,R_GND,PP,TRUE,abc,1.234
M_nadp_c,R_GND,PP,TRUE,abc,1.234
R_GND,M_co2_c,PP,TRUE,abc,1.234
R_GND,M_nadph_c,PP,TRUE,abc,1.234
R_GND,M_ru5p__D_c,PP,TRUE,abc,1.234
M_h2o_e,R_H2Ot,PP,TRUE,abc,1.234
R_H2Ot,M_h2o_c,PP,TRUE,abc,1.234
